name,organ_dice,organ_nsd,tumor_dice,tumor_nsd
D:\projects\DiffTumor\full_label_training\labelsTr\000,0.9996566441037213,0.997791666012194,0.0,0.0
D:\projects\DiffTumor\full_label_training\labelsTr\001,0.9788613311346179,0.9639344623045154,0.7260624010918013,0.3795803151254484
D:\projects\DiffTumor\full_label_training\labelsTr\002,0.9921794694179392,0.9826166692537016,0.8831755429096384,0.9076407853985788
D:\projects\DiffTumor\full_label_training\labelsTr\003,0.9989720891984715,0.9944099577342935,0.4775977121067683,0.542784815318021
D:\projects\DiffTumor\full_label_training\labelsTr\004,0.815979062833635,0.8448970801480091,0.7821875884755909,0.5087061076869627
D:\projects\DiffTumor\full_label_training\labelsTr\005,0.5479926196844905,0.8335432241264598,0.6050616925910269,0.18735037672490903
D:\projects\DiffTumor\full_label_training\labelsTr\006,0.9133031730271185,0.9401082730563418,0.5311895234630775,0.3039393037533493
D:\projects\DiffTumor\full_label_training\labelsTr\007,0.99924079365122,0.9957776673894839,0.7438112643296229,0.806335430950188
D:\projects\DiffTumor\full_label_training\labelsTr\008,0.5469952789801366,0.8608024157295234,0.767097111206865,0.3055635410193826
D:\projects\DiffTumor\full_label_training\labelsTr\009,0.6394821935884922,0.8519959652674768,0.5384384860824651,0.24723160942516031
D:\projects\DiffTumor\full_label_training\labelsTr\010,0.992619559483271,0.9815518203227354,0.6294477188386816,0.3202166141657257
D:\projects\DiffTumor\full_label_training\labelsTr\011,0.9742257958292991,0.9657036049951802,0.41017139677871706,0.23482105994454314
D:\projects\DiffTumor\full_label_training\labelsTr\012,0.9979086888828529,0.9920765933373351,0.6178923426838514,0.59588185206938
D:\projects\DiffTumor\full_label_training\labelsTr\013,0.6990256567605767,0.9078979043703941,0.5404965332140461,0.10518786086577528
D:\projects\DiffTumor\full_label_training\labelsTr\015,0.7980246578973328,0.9122081213892913,0.5873641814626313,0.20166571047850154
D:\projects\DiffTumor\full_label_training\labelsTr\016,0.9516140532459318,0.9275863245201932,0.5395047630965603,0.27393057737566356
D:\projects\DiffTumor\full_label_training\labelsTr\017,0.9825024352987985,0.9569653589188519,0.5332257196663976,0.5277839163271505
D:\projects\DiffTumor\full_label_training\labelsTr\018,0.9409989334909153,0.9707026500424146,0.8285961210097289,0.5245313893766655
D:\projects\DiffTumor\full_label_training\labelsTr\019,0.7335467691213503,0.8862622566860162,0.7876873383052936,0.4072343843074363
D:\projects\DiffTumor\full_label_training\labelsTr\020,0.7508726204533018,0.910008286962511,0.7491195023753744,0.22535571568542262
D:\projects\DiffTumor\full_label_training\labelsTr\021,0.6596399970322159,0.8261520896504342,0.3474896916307186,0.0876234252507649
D:\projects\DiffTumor\full_label_training\labelsTr\022,0.9996230918480773,0.9975000621668707,0.0,0.0
D:\projects\DiffTumor\full_label_training\labelsTr\023,0.6969869663133776,0.8682983760591666,0.6102631230473589,0.2578472788545378
D:\projects\DiffTumor\full_label_training\labelsTr\024,0.9929173198859328,0.9865250280500637,0.49857039620448046,0.36081513551033073
D:\projects\DiffTumor\full_label_training\labelsTr\025,0.9240834542429684,0.9294238929463807,0.865511707570764,0.48972207940630963
D:\projects\DiffTumor\full_label_training\labelsTr\026,0.9511990356880158,0.9689515472890058,0.6329677316801781,0.3331983031747441
D:\projects\DiffTumor\full_label_training\labelsTr\027,0.9839443513362857,0.9716431933309702,0.660973542633945,0.34721307160398784
D:\projects\DiffTumor\full_label_training\labelsTr\031,0.9997957977604619,0.9984082802383357,0.5768101761252447,0.5559854193373425
D:\projects\DiffTumor\full_label_training\labelsTr\032,0.9598261797763454,0.9568378658977983,0.9352776915916847,0.8944058334010334
D:\projects\DiffTumor\full_label_training\labelsTr\033,0.9172105237985504,0.9308573510525441,0.7850143847468602,0.5192729595630898
D:\projects\DiffTumor\full_label_training\labelsTr\034,0.9812795018865563,0.970048030278533,0.912705737578834,0.8967179570645788
D:\projects\DiffTumor\full_label_training\labelsTr\035,0.7348296933579691,0.8825758709245278,0.5278546411095213,0.23208234736504077
D:\projects\DiffTumor\full_label_training\labelsTr\036,0.5217474096500254,0.8622256213699727,0.8698699586420688,0.44408125851403846
D:\projects\DiffTumor\full_label_training\labelsTr\037,0.762666823161389,0.920083512578201,0.6764814210698012,0.20409897035492736
D:\projects\DiffTumor\full_label_training\labelsTr\038,0.9439839524563743,0.9196416671870123,0.6326993262323273,0.3150689465683183
D:\projects\DiffTumor\full_label_training\labelsTr\040,0.8309426660497202,0.9164139800197789,0.771123566057136,0.44861395516779007
D:\projects\DiffTumor\full_label_training\labelsTr\041,0.984457634577586,0.9712468099268255,0.6122738898962891,0.38711720079367196
D:\projects\DiffTumor\full_label_training\labelsTr\043,0.998503384367269,0.9936568651155759,0.7895043731778426,0.7815880449847106
D:\projects\DiffTumor\full_label_training\labelsTr\044,0.9640005281049675,0.9555076730240546,0.8814702365758964,0.744343129397525
D:\projects\DiffTumor\full_label_training\labelsTr\045,0.9784169297893757,0.9694750607883509,0.35147921946442395,0.16544633904861514
D:\projects\DiffTumor\full_label_training\labelsTr\046,0.8296713415314224,0.8896763414216691,0.8683014700188694,0.6391962393290723
D:\projects\DiffTumor\full_label_training\labelsTr\047,0.8558330272670169,0.9019751436239152,0.8640825916366709,0.561588814355719
D:\projects\DiffTumor\full_label_training\labelsTr\048,0.87535296107863,0.9148169064027422,0.7265039183627445,0.3775901633586068
D:\projects\DiffTumor\full_label_training\labelsTr\049,0.8447494979485612,0.9195180518575581,0.5601575580646546,0.14174650635590297
D:\projects\DiffTumor\full_label_training\labelsTr\050,0.9208209982046344,0.911145045315777,0.45070029786425,0.4161558697533199
D:\projects\DiffTumor\full_label_training\labelsTr\051,0.728657753910911,0.874746831061748,0.5976521305580597,0.2012563414970036
D:\projects\DiffTumor\full_label_training\labelsTr\052,0.45249265499253255,0.8746580709970336,0.7852126673079397,0.2825110939673467
D:\projects\DiffTumor\full_label_training\labelsTr\053,0.9862281630146473,0.9800765973436862,0.5132340052585451,0.4272852608611551
D:\projects\DiffTumor\full_label_training\labelsTr\054,0.8425635383131613,0.8980999047205024,0.7031524955174501,0.2599307559154725
D:\projects\DiffTumor\full_label_training\labelsTr\056,0.5283484263953441,0.8638601493297958,0.3313206681787291,0.17371050245457764
D:\projects\DiffTumor\full_label_training\labelsTr\057,0.8596101813582673,0.8797758244621207,0.8779899927829249,0.7123424052121787
D:\projects\DiffTumor\full_label_training\labelsTr\058,0.9990697316197357,0.9955185208024863,0.6788749251944943,0.6738470347802821
D:\projects\DiffTumor\full_label_training\labelsTr\059,0.9952294126598094,0.9923337946123776,0.7494908350305499,0.771342200295772
D:\projects\DiffTumor\full_label_training\labelsTr\060,0.7204210128349297,0.8686940620816842,0.41541678215907496,0.17747879101596234
D:\projects\DiffTumor\full_label_training\labelsTr\061,0.8318889802185514,0.8933288358979437,0.9169311280641426,0.7307802947216945
D:\projects\DiffTumor\full_label_training\labelsTr\064,0.9809507665869782,0.970415284506594,0.7812554338375934,0.6629278355164354
D:\projects\DiffTumor\full_label_training\labelsTr\065,0.8349941372835036,0.8921497186917623,0.542378427493279,0.2481638412032545
D:\projects\DiffTumor\full_label_training\labelsTr\066,0.9127653045007919,0.918131018124971,0.4172812708122641,0.2154922089135597
D:\projects\DiffTumor\full_label_training\labelsTr\067,0.9956572390623003,0.9906152437346046,0.826920175041497,0.8795638588893542
D:\projects\DiffTumor\full_label_training\labelsTr\068,0.8451252054092355,0.8833925985859604,0.7274237992284539,0.37243313333237604
D:\projects\DiffTumor\full_label_training\labelsTr\069,0.8434422590844439,0.9060035866811333,0.8499964030568483,0.5531550007831004
D:\projects\DiffTumor\full_label_training\labelsTr\070,0.8623697764573907,0.9183688163110075,0.8612264050104081,0.6890384975374608
D:\projects\DiffTumor\full_label_training\labelsTr\071,0.9601212964181218,0.9666955635169951,0.8588356286889645,0.7059043902336459
D:\projects\DiffTumor\full_label_training\labelsTr\073,0.9989748856077945,0.9955702735162378,0.35714285714285715,0.4787269601103322
D:\projects\DiffTumor\full_label_training\labelsTr\074,0.9938006660331419,0.9848299961648234,0.9160799774711349,0.9414282263828724
D:\projects\DiffTumor\full_label_training\labelsTr\075,0.8502421499809051,0.8904667656286912,0.9313813359349518,0.7962376473551643
